segment,length_m,grade_%,passengers,energy_kWh,kWh_per_km,cum_dist_km,SoC_start_%,SoC_end_%
0,570.9,-2.08,15,0.222,0.389,0.571,100.0,99.93
1,641.5,0.26,11,0.712,1.11,1.212,99.93,99.69
2,457.6,1.76,22,0.953,2.083,1.67,99.69,99.37
3,455.2,-1.72,38,0.211,0.464,2.125,99.37,99.3
4,589.7,-0.1,10,0.592,1.004,2.715,99.3,99.1
5,612.6,-0.86,43,0.297,0.486,3.327,99.1,99.0
6,315.3,0.83,21,0.547,1.734,3.643,99.0,98.82
7,414.0,-1.63,43,0.217,0.523,4.057,98.82,98.75
8,345.5,-1.68,42,0.195,0.563,4.402,98.75,98.68
9,591.4,-2.34,24,0.118,0.2,4.994,98.68,98.65
10,581.7,0.23,31,0.624,1.072,5.575,98.65,98.44
11,370.0,0.14,13,0.499,1.348,5.945,98.44,98.27
12,546.8,-0.64,9,0.383,0.7,6.492,98.27,98.14
13,340.1,-1.73,13,0.198,0.582,6.832,98.14,98.08
14,567.7,0.33,37,0.705,1.241,7.4,98.08,97.84
15,310.8,-0.92,19,0.24,0.771,7.711,97.84,97.76
16,598.7,-2.27,41,0.063,0.105,8.309,97.76,97.74
17,531.7,-0.85,18,0.385,0.724,8.841,97.74,97.61
18,442.2,0.91,11,0.595,1.345,9.283,97.61,97.42
19,552.8,0.97,11,0.737,1.333,9.836,97.42,97.17
20,353.3,0.89,16,0.556,1.575,10.19,97.17,96.98
21,520.6,-3.37,19,-0.06,-0.116,10.71,96.98,97.0
22,636.7,0.8,36,0.928,1.458,11.347,97.0,96.69
23,572.6,1.48,43,1.043,1.821,11.919,96.69,96.35
24,333.7,-0.68,34,0.315,0.943,12.253,96.35,96.24
25,502.7,-1.19,19,0.335,0.667,12.756,96.24,96.13
26,551.8,0.47,11,0.686,1.243,13.308,96.13,95.9
27,329.6,0.36,32,0.431,1.309,13.637,95.9,95.76
28,415.5,0.71,37,0.599,1.441,14.053,95.76,95.56
29,623.8,-0.78,14,0.35,0.561,14.676,95.56,95.44
30,308.0,-2.94,10,0.113,0.366,14.984,95.44,95.4
31,470.3,5.83,11,1.75,3.722,15.455,95.4,94.82
32,465.7,0.54,39,0.643,1.38,15.92,94.82,94.61
33,307.6,2.13,24,0.743,2.415,16.228,94.61,94.36
34,493.9,-3.35,17,0.035,0.072,16.722,94.36,94.35
35,554.4,0.26,32,0.619,1.117,17.276,94.35,94.14
36,380.6,-1.93,19,0.195,0.513,17.657,94.14,94.08
37,582.9,-1.81,38,0.288,0.494,18.24,94.08,93.98
38,480.3,-0.08,27,0.604,1.257,18.72,93.98,93.78
39,452.3,-2.56,9,0.164,0.363,19.172,93.78,93.72
